Format:             MTData_1.0
# file generated in Tue Nov  9 15:47:12 2021
Frequencies (Hz):     40
3.2000e+02
2.3957e+02
1.7935e+02
1.3427e+02
1.0052e+02
7.5257e+01
5.6342e+01
4.2180e+01
3.1578e+01
2.3641e+01
1.7699e+01
1.3250e+01
9.9199e+00
7.4265e+00
5.5599e+00
4.1624e+00
3.1162e+00
2.3330e+00
1.7466e+00
1.3076e+00
9.7891e-01
7.3287e-01
5.4866e-01
4.1076e-01
3.0751e-01
2.3022e-01
1.7235e-01
1.2903e-01
9.6601e-02
7.2321e-02
5.4143e-02
4.0534e-02
3.0346e-02
2.2719e-02
1.7008e-02
1.2733e-02
9.5328e-03
7.1368e-03
5.3429e-03
4.0000e-03
DataType:    2
realZxy
imagZxy
Data Block:     80
# FreqNo.   DataType      Value        Error
    1        1    5.390698e-01    2.901863e-02
    1        2    6.026799e-01    3.082017e-02
    2        1    4.988747e-01    2.409851e-02
    2        2    5.474783e-01    2.789044e-02
    3        1    3.371546e-01    1.939068e-02
    3        2    4.919760e-01    2.492260e-02
    4        1    2.898279e-01    1.516703e-02
    4        2    4.812516e-01    2.181130e-02
    5        1    2.353031e-01    1.163141e-02
    5        2    3.902040e-01    1.864799e-02
    6        1    1.728116e-01    8.842921e-03
    6        2    3.166948e-01    1.560824e-02
    7        1    1.406947e-01    6.736151e-03
    7        2    2.462405e-01    1.284562e-02
    8        1    1.026069e-01    5.184891e-03
    8        2    2.149742e-01    1.044629e-02
    9        1    8.151450e-02    4.053141e-03
    9        2    1.649463e-01    8.433278e-03
   10        1    6.370670e-02    3.220139e-03
   10        2    1.335418e-01    6.784913e-03
   11        1    5.194383e-02    2.592339e-03
   11        2    1.070337e-01    5.451962e-03
   12        1    3.840622e-02    2.107965e-03
   12        2    9.016515e-02    4.375570e-03
   13        1    3.518541e-02    1.731332e-03
   13        2    8.543606e-02    3.503252e-03
   14        1    2.955506e-02    1.440952e-03
   14        2    6.022379e-02    2.795368e-03
   15        1    2.180397e-02    1.220974e-03
   15        2    4.644827e-02    2.223017e-03
   16        1    2.101411e-02    1.057872e-03
   16        2    3.568661e-02    1.764698e-03
   17        1    2.089861e-02    9.387911e-04
   17        2    2.825977e-02    1.403944e-03
   18        1    1.701440e-02    8.508199e-04
   18        2    2.321053e-02    1.126854e-03
   19        1    1.407481e-02    7.816331e-04
   19        2    1.785022e-02    9.201502e-04
   20        1    1.414815e-02    7.206217e-04
   20        2    1.601944e-02    7.704391e-04
   21        1    1.239292e-02    6.597238e-04
   21        2    1.248794e-02    6.642917e-04
   22        1    1.171644e-02    5.938673e-04
   22        2    1.170835e-02    5.886271e-04
   23        1    1.016386e-02    5.212290e-04
   23        2    1.146748e-02    5.311990e-04
   24        1    8.849232e-03    4.434603e-04
   24        2    8.922058e-03    4.813972e-04
   25        1    6.927207e-03    3.653863e-04
   25        2    9.001216e-03    4.316939e-04
   26        1    6.193239e-03    2.932837e-04
   26        2    7.593641e-03    3.790605e-04
   27        1    4.565685e-03    2.321462e-04
   27        2    6.101283e-03    3.247589e-04
   28        1    3.466391e-03    1.838900e-04
   28        2    5.238976e-03    2.722071e-04
   29        1    3.038815e-03    1.475825e-04
   29        2    4.085648e-03    2.245809e-04
   30        1    2.465372e-03    1.208316e-04
   30        2    3.240722e-03    1.836271e-04
   31        1    1.942922e-03    1.010450e-04
   31        2    3.097197e-03    1.496843e-04
   32        1    1.909287e-03    8.606991e-05
   32        2    2.442133e-03    1.221987e-04
   33        1    1.569589e-03    7.434472e-05
   33        2    1.907428e-03    1.002242e-04
   34        1    1.220817e-03    6.482168e-05
   34        2    1.710401e-03    8.274233e-05
   35        1    1.119955e-03    5.683062e-05
   35        2    1.374617e-03    6.882284e-05
   36        1    9.958991e-04    4.995467e-05
   36        2    1.214580e-03    5.768369e-05
   37        1    8.679030e-04    4.393745e-05
   37        2    9.963340e-04    4.869805e-05
   38        1    8.130256e-04    3.861980e-05
   38        2    8.570452e-04    4.137838e-05
   39        1    6.475696e-04    3.389914e-05
   39        2    7.426614e-04    3.535260e-05
   40        1    6.044111e-04    2.970454e-05
   40        2    5.789165e-04    3.033997e-05
